,BlackRock Multi-Asset Income Portfolio,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock Equity Dividend Fund,iShares 20+ Year Treasury Bond ETF,Vanguard Equity-Income Fund Investor Shares,Cash
2018-05-30,8.36819076538086,66.6427993774414,12.91299819946289,109.31261444091797,26.225997924804688,22.03983797984725
2018-05-31,8.403402328491211,66.58039855957031,12.821736335754395,109.13255310058594,26.03357696533203,22.04086379023919
2018-06-01,8.419050216674805,66.73234558105469,12.924402236938477,108.55596923828125,26.261629104614258,22.0418896483759
2018-06-04,8.434699058532715,66.87335205078125,12.947219848632812,107.77085876464844,26.304391860961914,22.044967509276866
2018-06-05,8.434699058532715,66.95166778564453,12.91299819946289,108.02352142333984,26.2758846282959,22.045993558414875
2018-06-06,8.442526817321777,67.1162109375,13.0327730178833,107.14823150634766,26.454044342041016,22.047019655308763
2018-06-07,8.442526817321777,67.13968658447266,13.066996574401855,108.18595123291016,26.489683151245117,22.048045799960757
2018-06-08,8.442526817321777,67.10052490234375,13.10692024230957,107.86111450195312,26.575204849243164,22.049071992373072
2018-06-11,8.45034408569336,67.22586822509766,13.118329048156738,107.66255187988281,26.603713989257812,22.05215085619421
2018-06-12,8.45034408569336,67.28070068359375,13.066996574401855,107.68962860107422,26.575204849243164,22.05317723967006
2018-06-13,8.434699058532715,67.30419158935547,13.061291694641113,107.63552856445312,26.418411254882812,22.054203670917357
2018-06-14,8.442526817321777,67.50003814697266,13.038476943969727,108.52885437011719,26.418411254882812,22.05523014993831
2018-06-15,8.426878929138184,67.46086120605469,13.021367073059082,108.62812805175781,26.413393020629883,22.05637744459361
2018-06-18,8.419050216674805,67.45301055908203,12.992847442626953,108.52885437011719,26.305753707885742,22.0598196866598
2018-06-19,8.39557933807373,67.35902404785156,12.952921867370605,109.16051483154297,26.2340030670166,22.06096722005897
2018-06-20,8.403402328491211,67.42952728271484,12.941515922546387,108.2040023803711,26.248350143432617,22.062120853115516
2018-06-21,8.379923820495605,67.28851318359375,12.89588451385498,108.77251434326172,26.076139450073242,22.06328058677843
2018-06-22,8.39557933807373,67.2963638305664,12.987142562866211,108.76348876953125,26.226825714111328,22.06444038140476
2018-06-25,8.356456756591797,67.13968658447266,12.850255966186523,109.00713348388672,25.990032196044922,22.067920131096265
2018-06-26,8.364282608032227,67.13186645507812,12.855961799621582,109.16051483154297,26.004384994506836,22.06908016960829
2018-06-27,8.340807914733887,66.99085998535156,12.781813621520996,110.189208984375,25.83934211730957,22.07024026909976
2018-06-28,8.332983016967773,66.80284118652344,12.833145141601562,110.21630096435547,25.975688934326172,22.07139438707139
2018-06-29,8.377779006958008,66.64618682861328,12.838850975036621,109.83732604980469,26.047435760498047,22.07254856539526
2018-07-02,8.362061500549316,66.70993041992188,12.861665725708008,109.75138092041016,26.047435760498047,22.076011462511826
2018-07-03,8.369917869567871,66.7177963256836,12.838850975036621,110.33924865722656,26.040267944335938,22.077165882276184
2018-07-05,8.393498420715332,66.96961975097656,12.918703079223633,110.65581512451172,26.248350143432617,22.07947490291211
2018-07-06,8.409217834472656,67.14270782470703,13.00995922088623,111.01759338378906,26.40621566772461,22.08062950378999
2018-07-09,8.424936294555664,67.24498748779297,13.146843910217285,110.3030776977539,26.54972267150879,22.08409366870117
2018-07-10,8.432794570922852,67.25284576416016,13.181068420410156,110.29402160644531,26.69324493408203,22.085248511107935
2018-07-11,8.401357650756836,67.15058135986328,13.072698593139648,110.7191162109375,26.42774200439453,22.086403413904826
2018-07-12,8.424936294555664,67.36302185058594,13.158252716064453,110.7100830078125,26.607133865356445,22.08755837709498
2018-07-13,8.432794570922852,67.36302185058594,13.163957595825195,110.99042510986328,26.614309310913086,22.08871340068157
2018-07-16,8.424936294555664,67.31580352783203,13.198177337646484,110.52918243408203,26.614309310913086,22.09217883385152
2018-07-17,8.432794570922852,67.33941650390625,13.20388126373291,110.32115936279297,26.67888641357422,22.093334099055426
2018-07-18,8.432794570922852,67.37091064453125,13.232400894165039,109.87799072265625,26.70758819580078,22.094489424671558
2018-07-19,8.432794570922852,67.33941650390625,13.180322647094727,110.57440948486328,26.63583755493164,22.095644810703067
2018-07-20,8.440650939941406,67.37091064453125,13.191766738891602,109.21775817871094,26.63583755493164,22.096800257153127
2018-07-23,8.432794570922852,67.3472900390625,13.237553596496582,107.87019348144531,26.64301109313965,22.100266959046163
2018-07-24,8.448513984680176,67.48892974853516,13.283333778381348,108.24099731445312,26.78652572631836,22.101422647201996
2018-07-25,8.472086906433105,67.61480712890625,13.352012634277344,108.06919860839844,26.94439125061035,22.102578395792168
2018-07-26,8.472086906433105,67.62272644042969,13.380630493164062,107.86115264892578,27.087900161743164,22.103734204819844
2018-07-27,8.472086906433105,67.59909057617188,13.380630493164062,108.04203033447266,27.037668228149414,22.104890074288186
2018-07-30,8.472086906433105,67.62272644042969,13.403520584106445,107.67123413085938,27.066373825073242,22.1083580453688
2018-07-31,8.515494346618652,67.76434326171875,13.426412582397461,108.25907897949219,27.19552993774414,22.1095141566314
2018-08-01,8.515494346618652,67.82518768310547,13.380630493164062,107.37713623046875,27.05202293395996,22.110670328350476
2018-08-02,8.523385047912598,67.86468505859375,13.3863525390625,107.53121948242188,27.066373825073242,22.11182656052917
2018-08-03,8.53127670288086,67.91999816894531,13.449304580688477,108.06600952148438,27.238584518432617,22.112982853170667
2018-08-06,8.53127670288086,68.0464096069336,13.48364543914795,108.12947082519531,27.2888126373291,22.11645209390352
2018-08-07,8.539170265197754,68.07804870605469,13.495089530944824,107.56747436523438,27.33186912536621,22.1176086284278
2018-08-08,8.539170265197754,68.03854370117188,13.500812530517578,107.67623901367188,27.295995712280273,22.11876522343068
2018-08-09,8.539170265197754,67.99109649658203,13.477917671203613,108.58270263671875,27.22423553466797,22.119921878915328
2018-08-10,8.515494346618652,67.8725814819336,13.369180679321289,109.37130737304688,27.016149520874023,22.121078594884903
2018-08-13,8.49181842803955,67.82518768310547,13.294779777526855,109.14466857910156,26.915687561035156,22.12454910573482
2018-08-14,8.499709129333496,67.9437255859375,13.3863525390625,108.89996337890625,27.05202293395996,22.12570606367573
2018-08-15,8.476035118103027,67.82518768310547,13.283333778381348,109.53446960449219,26.88698387145996,22.126863082117392
2018-08-16,8.49181842803955,67.91212463378906,13.397797584533691,109.5253677368164,27.188352584838867,22.12802016106296
2018-08-17,8.507599830627441,67.99109649658203,13.460752487182617,109.66139221191406,27.339040756225586,22.12918335883734
2018-08-20,8.523385047912598,68.0227279663086,13.512263298034668,110.39559173583984,27.403623580932617,22.1326733190464
2018-08-21,8.523385047912598,68.12542724609375,13.546601295471191,110.0239486694336,27.46102523803711,22.133836761422103
2018-08-22,8.53127670288086,68.149169921875,13.558043479919434,110.45906066894531,27.389272689819336,22.13500026495618
2018-08-23,8.523385047912598,68.14124298095703,13.529430389404297,110.63126373291016,27.303163528442383,22.136163829651835
2018-08-24,8.53127670288086,68.25981140136719,13.59238338470459,110.84879302978516,27.43231773376465,22.137327455512285
2018-08-27,8.539170265197754,68.28348541259766,13.695396423339844,110.21430206298828,27.590187072753906,22.14081870011457
2018-08-28,8.539170265197754,68.25189971923828,13.683952331542969,109.55255889892578,27.547138214111328,22.141982570666364
2018-08-29,8.539170265197754,68.2123794555664,13.72973918914795,109.69761657714844,27.618892669677734,22.143146502399038
2018-08-30,8.523385047912598,68.1570816040039,13.66678237915039,109.93328857421875,27.46102523803711,22.144310495315796
2018-08-31,8.552717208862305,68.24401092529297,13.632444381713867,109.67950439453125,27.41797637939453,22.14547454941986
2018-09-04,8.536864280700684,68.10191345214844,13.59238338470459,109.04537963867188,27.324697494506836,22.150107121556704
2018-09-05,8.528938293457031,68.030517578125,13.609552383422852,108.75464630126953,27.453847885131836,22.15127148037049
2018-09-06,8.521008491516113,68.0860595703125,13.558043479919434,109.15438079833984,27.389272689819336,22.152435900390813
2018-09-07,8.505155563354492,68.0146255493164,13.546601295471191,108.22772216796875,27.31034278869629,22.153600381620898
2018-09-10,8.513082504272461,68.14957427978516,13.546601295471191,108.62747955322266,27.34622573852539,22.15709419260188
2018-09-11,8.513082504272461,68.16542053222656,13.575211524963379,107.80072784423828,27.33186912536621,22.158258918703176
2018-09-12,8.521008491516113,68.32414245605469,13.580937385559082,108.05509948730469,27.339040756225586,22.15942370603032
2018-09-13,8.528938293457031,68.45111846923828,13.615272521972656,108.2186279296875,27.46820068359375,22.16058855458653
