,T,r,mu,sigma,S0,K,Price
9169,1.0,0.0,0.18,0.33,150.0,195.0,3.744648444957468
9170,1.0,0.0,0.18,0.4,50.0,35.0,19.778485074384204
9171,1.0,0.0,0.18,0.4,50.0,40.0,15.09762456363875
9172,1.0,0.0,0.18,0.4,50.0,45.0,11.011957640779654
9173,1.0,0.0,0.18,0.4,50.0,50.0,7.594399015168942
9174,1.0,0.0,0.18,0.4,50.0,55.00000000000001,5.004461937941274
9175,1.0,0.0,0.18,0.4,50.0,60.00000000000001,3.1411670501307274
9176,1.0,0.0,0.18,0.4,50.0,65.0,2.0335267599061067
9177,1.0,0.0,0.18,0.4,61.111111111111114,42.77777777777778,24.32456604497933
9178,1.0,0.0,0.18,0.4,61.111111111111114,48.888888888888886,18.88246622225311
9179,1.0,0.0,0.18,0.4,61.111111111111114,55.00000000000001,13.381511197460323
9180,1.0,0.0,0.18,0.4,61.111111111111114,61.111111111111114,9.245232384629038
9181,1.0,0.0,0.18,0.4,61.111111111111114,67.22222222222223,6.135968748947275
9182,1.0,0.0,0.18,0.4,61.111111111111114,73.33333333333334,3.8695183184701922
9183,1.0,0.0,0.18,0.4,61.111111111111114,79.44444444444446,2.459286737987757
9184,1.0,0.0,0.18,0.4,72.22222222222223,50.55555555555556,28.651531117679085
9185,1.0,0.0,0.18,0.4,72.22222222222223,57.77777777777778,21.926653190866006
9186,1.0,0.0,0.18,0.4,72.22222222222223,65.00000000000001,15.832965954453803
9187,1.0,0.0,0.18,0.4,72.22222222222223,72.22222222222223,11.100273261803146
9188,1.0,0.0,0.18,0.4,72.22222222222223,79.44444444444446,7.491326609074892
9189,1.0,0.0,0.18,0.4,72.22222222222223,86.66666666666669,4.532012627516529
9190,1.0,0.0,0.18,0.4,72.22222222222223,93.8888888888889,2.762303999501915
9191,1.0,0.0,0.18,0.4,83.33333333333333,58.33333333333333,32.94124689951453
9192,1.0,0.0,0.18,0.4,83.33333333333333,66.66666666666666,25.105843861333746
9193,1.0,0.0,0.18,0.4,83.33333333333333,75.0,18.70515598626875
9194,1.0,0.0,0.18,0.4,83.33333333333333,83.33333333333333,12.853709438982854
9195,1.0,0.0,0.18,0.4,83.33333333333333,91.66666666666667,8.233914498864673
9196,1.0,0.0,0.18,0.4,83.33333333333333,100.00000000000001,5.574381727069821
9197,1.0,0.0,0.18,0.4,83.33333333333333,108.33333333333333,3.2892238618292358
9198,1.0,0.0,0.18,0.4,94.44444444444444,66.1111111111111,37.3043364486007
9199,1.0,0.0,0.18,0.4,94.44444444444444,75.55555555555554,28.886622035735094
9200,1.0,0.0,0.18,0.4,94.44444444444444,85.0,20.901492120084953
9201,1.0,0.0,0.18,0.4,94.44444444444444,94.44444444444444,14.239867581163649
9202,1.0,0.0,0.18,0.4,94.44444444444444,103.8888888888889,9.541731443245753
9203,1.0,0.0,0.18,0.4,94.44444444444444,113.33333333333334,6.026934602649395
9204,1.0,0.0,0.18,0.4,94.44444444444444,122.77777777777779,3.802947933592851
9205,1.0,0.0,0.18,0.4,105.55555555555556,73.88888888888889,41.87979628519119
9206,1.0,0.0,0.18,0.4,105.55555555555556,84.44444444444444,31.98458504491112
9207,1.0,0.0,0.18,0.4,105.55555555555556,95.0,23.07816823241685
9208,1.0,0.0,0.18,0.4,105.55555555555556,105.55555555555556,16.14927251427519
9209,1.0,0.0,0.18,0.4,105.55555555555556,116.11111111111113,11.059957992363545
9210,1.0,0.0,0.18,0.4,105.55555555555556,126.66666666666669,6.803946990693521
9211,1.0,0.0,0.18,0.4,105.55555555555556,137.22222222222223,4.126327526689483
9212,1.0,0.0,0.18,0.4,116.66666666666666,81.66666666666666,46.556042927648285
9213,1.0,0.0,0.18,0.4,116.66666666666666,93.33333333333331,35.426046413423784
9214,1.0,0.0,0.18,0.4,116.66666666666666,105.0,25.513131759367912
9215,1.0,0.0,0.18,0.4,116.66666666666666,116.66666666666666,17.881368067747328
9216,1.0,0.0,0.18,0.4,116.66666666666666,128.33333333333334,11.803663094143198
9217,1.0,0.0,0.18,0.4,116.66666666666666,140.0,7.361282244219554
9218,1.0,0.0,0.18,0.4,116.66666666666666,151.66666666666666,4.581114050103364
9219,1.0,0.0,0.18,0.4,127.77777777777777,89.44444444444443,50.79898998031204
9220,1.0,0.0,0.18,0.4,127.77777777777777,102.22222222222221,38.804059579942006
9221,1.0,0.0,0.18,0.4,127.77777777777777,115.0,28.414617721943028
9222,1.0,0.0,0.18,0.4,127.77777777777777,127.77777777777777,19.42358855940015
9223,1.0,0.0,0.18,0.4,127.77777777777777,140.55555555555557,12.866535122467447
9224,1.0,0.0,0.18,0.4,127.77777777777777,153.33333333333334,8.291172639545678
9225,1.0,0.0,0.18,0.4,127.77777777777777,166.11111111111111,4.888597837361477
9226,1.0,0.0,0.18,0.4,138.88888888888889,97.22222222222221,55.24416114625752
9227,1.0,0.0,0.18,0.4,138.88888888888889,111.1111111111111,43.284805794324306
9228,1.0,0.0,0.18,0.4,138.88888888888889,125.0,30.34784737594622
9229,1.0,0.0,0.18,0.4,138.88888888888889,138.88888888888889,20.627558417567
9230,1.0,0.0,0.18,0.4,138.88888888888889,152.7777777777778,13.814940591997305
9231,1.0,0.0,0.18,0.4,138.88888888888889,166.66666666666669,8.97679576661658
9232,1.0,0.0,0.18,0.4,138.88888888888889,180.55555555555557,5.619239464981583
9233,1.0,0.0,0.18,0.4,150.0,105.0,59.540040479385176
