,T,n_step,r,mu,sigma,S0,K,Price
4646,0.5,132.0,0.03,0.3,0.05,83.33333333333333,100.00000000000001,0.0
4647,0.5,132.0,0.03,0.3,0.05,83.33333333333333,108.33333333333333,0.0
4648,0.5,132.0,0.03,0.3,0.05,94.44444444444444,66.1111111111111,35.2628593924313
4649,0.5,132.0,0.03,0.3,0.05,94.44444444444444,75.55555555555554,25.938618223607754
4650,0.5,132.0,0.03,0.3,0.05,94.44444444444444,85.0,16.65013305203386
4651,0.5,132.0,0.03,0.3,0.05,94.44444444444444,94.44444444444444,7.360255497210016
4652,0.5,132.0,0.03,0.3,0.05,94.44444444444444,103.8888888888889,0.19722598977657585
4653,0.5,132.0,0.03,0.3,0.05,94.44444444444444,113.33333333333334,0.0
4654,0.5,132.0,0.03,0.3,0.05,94.44444444444444,122.77777777777779,0.0
4655,0.5,132.0,0.03,0.3,0.05,105.55555555555556,73.88888888888889,39.394329787566775
4656,0.5,132.0,0.03,0.3,0.05,105.55555555555556,84.44444444444444,28.964380202258578
4657,0.5,132.0,0.03,0.3,0.05,105.55555555555556,95.0,18.633858313827773
4658,0.5,132.0,0.03,0.3,0.05,105.55555555555556,105.55555555555556,8.232737492718567
4659,0.5,132.0,0.03,0.3,0.05,105.55555555555556,116.11111111111113,0.22644712055981908
4660,0.5,132.0,0.03,0.3,0.05,105.55555555555556,126.66666666666669,0.0
4661,0.5,132.0,0.03,0.3,0.05,105.55555555555556,137.22222222222223,0.0
4662,0.5,132.0,0.03,0.3,0.05,116.66666666666666,81.66666666666666,43.59189669843356
4663,0.5,132.0,0.03,0.3,0.05,116.66666666666666,93.33333333333331,32.10177635970198
4664,0.5,132.0,0.03,0.3,0.05,116.66666666666666,105.0,20.540340640826912
4665,0.5,132.0,0.03,0.3,0.05,116.66666666666666,116.66666666666666,9.044845670776422
4666,0.5,132.0,0.03,0.3,0.05,116.66666666666666,128.33333333333334,0.24150917269410604
4667,0.5,132.0,0.03,0.3,0.05,116.66666666666666,140.0,0.0
4668,0.5,132.0,0.03,0.3,0.05,116.66666666666666,151.66666666666666,0.0
4669,0.5,132.0,0.03,0.3,0.05,127.77777777777777,89.44444444444443,47.69244235790301
